relation,from_node_type,from_node,from_node_key,from_node_note,from_node_ts,to_node_type,to_node,to_node_key,to_node_note,to_node_ts
dep,estproduction,estpro1110,"202311101200-estproduction-gh1-1113,202311101200-estproduction-gh1-1114,202311101200-estproduction-gh1-1115",TRUE,202311101200,fruit,fruit1111,"202311111200-fruit-gh1-c11-f111,202311111200-fruit-gh1-c11-f112,202311111200-fruit-gh1-c11-f113",simulation,202311131500
indep,estproduction,estpro1110,"202311101200-estproduction-gh1-1113,202311101200-estproduction-gh1-1114,202311101200-estproduction-gh1-1115",TRUE,202311101200,precal,precal_simulation_1111,202311111200-precal-gh1-simulation,simulation,202311131500
dep,precal,precal_simulation_1111,202311111200-precal-gh1-simulation,simulation,202311131500,fruit,fruit1111,"202311111200-fruit-gh1-c11-f111,202311111200-fruit-gh1-c11-f112,202311111200-fruit-gh1-c11-f113",simulation,202311131500
indep,fruit,fruit1111,"202311111200-fruit-gh1-c11-f111,202311111200-fruit-gh1-c11-f112,202311111200-fruit-gh1-c11-f113",simulation,202311131500,precal,precal_m2_1112,202311121200-precal-gh1-m2,TRUE,202311121200
indep,precal,precal_m2_1112,202311121200-precal-gh1-m2,TRUE,202311121200,model,m2ver1112,202311121000-model-m2,TRUE,202311121200
dep,model,m2ver1112,202311121000-model-m2,TRUE,202311121200,estproduction,estpro1111,"202311111200-estproduction-gh1-1113,202311111200-estproduction-gh1-1114,202311111200-estproduction-gh1-1115",simulation,202311131500
dep,fruit,fruit1111,"202311111200-fruit-gh1-c11-f111,202311111200-fruit-gh1-c11-f112,202311111200-fruit-gh1-c11-f113",simulation,202311131500,estproduction,estpro1111,"202311111200-estproduction-gh1-1113,202311111200-estproduction-gh1-1114,202311111200-estproduction-gh1-1115",simulation,202311131500
dep,precal,precal_m2_1112,202311121200-precal-gh1-m2,TRUE,202311121200,estproduction,estpro1111,"202311111200-estproduction-gh1-1113,202311111200-estproduction-gh1-1114,202311111200-estproduction-gh1-1115",simulation,202311131500
indep,sensor,sensor1111,"202311111200-sensor-gh1-temp-sen11,202311111200-sensor-gh1-temp-sen12,202311111200-sensor-gh1-humid-sen13,202311111200-sensor-gh1-humid-sen14",TRUE,202311111200,precal,precal_m2_1112,202311121200-precal-gh1-m2,TRUE,202311121200
dep,sensor,sensor1111,"202311111200-sensor-gh1-temp-sen11,202311111200-sensor-gh1-temp-sen12,202311111200-sensor-gh1-humid-sen13,202311111200-sensor-gh1-humid-sen14",TRUE,202311111200,estproduction,estpro1111,"202311111200-estproduction-gh1-1113,202311111200-estproduction-gh1-1114,202311111200-estproduction-gh1-1115",simulation,202311131500
dep,estproduction,estpro1111,"202311111200-estproduction-gh1-1113,202311111200-estproduction-gh1-1114,202311111200-estproduction-gh1-1115",simulation,202311131500,fruit,fruit1112,"202311121200-fruit-gh1-c11-f111,202311121200-fruit-gh1-c11-f112,202311121200-fruit-gh1-c11-f113",simulation,202311131500
indep,estproduction,estpro1111,"202311111200-estproduction-gh1-1113,202311111200-estproduction-gh1-1114,202311111200-estproduction-gh1-1115",simulation,202311131500,precal,precal_simulation_1112,202311121200-precal-gh1-simulation,simulation,202311131500
dep,precal,precal_simulation_1112,202311121200-precal-gh1-simulation,simulation,202311131500,fruit,fruit1112,"202311121200-fruit-gh1-c11-f111,202311121200-fruit-gh1-c11-f112,202311121200-fruit-gh1-c11-f113",simulation,202311131500
indep,fruit,fruit1112,"202311121200-fruit-gh1-c11-f111,202311121200-fruit-gh1-c11-f112,202311121200-fruit-gh1-c11-f113",simulation,202311131500,precal,precal_m2_1112,202311121200-precal-gh1-m2,TRUE,202311121200
indep,precal,precal_m2_1112,202311121200-precal-gh1-m2,TRUE,202311121200,model,m2ver1112,202311121000-model-m2,TRUE,202311121200
dep,model,m2ver1112,202311121000-model-m2,TRUE,202311121200,estproduction,estpro1112,"202311121200-estproduction-gh1-1113,202311121200-estproduction-gh1-1114,202311121200-estproduction-gh1-1115",simulation,202311131500
dep,fruit,fruit1112,"202311121200-fruit-gh1-c11-f111,202311121200-fruit-gh1-c11-f112,202311121200-fruit-gh1-c11-f113",simulation,202311131500,estproduction,estpro1112,"202311121200-estproduction-gh1-1113,202311121200-estproduction-gh1-1114,202311121200-estproduction-gh1-1115",simulation,202311131500
dep,precal,precal_m2_1112,202311121200-precal-gh1-m2,TRUE,202311121200,estproduction,estpro1112,"202311121200-estproduction-gh1-1113,202311121200-estproduction-gh1-1114,202311121200-estproduction-gh1-1115",simulation,202311131500
indep,sensor,sensor1112,"202311121200-sensor-gh1-temp-sen11,202311121200-sensor-gh1-temp-sen12,202311121200-sensor-gh1-humid-sen13,202311121200-sensor-gh1-humid-sen14",TRUE,202311121200,precal,precal_m2_1112,202311121200-precal-gh1-m2,TRUE,202311121200
dep,sensor,sensor1112,"202311121200-sensor-gh1-temp-sen11,202311121200-sensor-gh1-temp-sen12,202311121200-sensor-gh1-humid-sen13,202311121200-sensor-gh1-humid-sen14",TRUE,202311121200,estproduction,estpro1112,"202311121200-estproduction-gh1-1113,202311121200-estproduction-gh1-1114,202311121200-estproduction-gh1-1115",simulation,202311131500
