relation,from_node_type,from_node,from_node_key,from_node_note,from_node_ts,to_node_type,to_node,to_node_key,to_node_note,to_node_ts
indep,monitor,monitor1106,202311061200-monitor-gh1-photo01,TRUE,202311061200,precal,precal_m1_1106,202311061200-precal-gh1-m1,TRUE,202311061200
indep,precal,precal_m1_1106,202311061200-precal-gh1-m1,TRUE,202311061200,model,m1ver1106,202311061000-model-m1,TRUE,202311061200
dep,monitor,monitor1106,202311061200-monitor-gh1-photo01,TRUE,202311061200,fruit,fruit1106,"202311061200-fruit-gh1-c11-f111,202311061200-fruit-gh1-c11-f112,202311061200-fruit-gh1-c11-f113",TRUE,202311061200
dep,precal,precal_m1_1106,202311061200-precal-gh1-m1,TRUE,202311061200,fruit,fruit1106,"202311061200-fruit-gh1-c11-f111,202311061200-fruit-gh1-c11-f112,202311061200-fruit-gh1-c11-f113",TRUE,202311061200
dep,model,m1ver1106,202311061000-model-m1,TRUE,202311061200,fruit,fruit1106,"202311061200-fruit-gh1-c11-f111,202311061200-fruit-gh1-c11-f112,202311061200-fruit-gh1-c11-f113",TRUE,202311061200
indep,fruit,fruit1106,"202311061200-fruit-gh1-c11-f111,202311061200-fruit-gh1-c11-f112,202311061200-fruit-gh1-c11-f113",TRUE,202311061200,precal,precal_m2_1106,202311061200-precal-gh1-m2,TRUE,202311061200
indep,precal,precal_m2_1106,202311061200-precal-gh1-m2,TRUE,202311061200,model,m2ver1106,202311061000-model-m2,TRUE,202311061200
dep,model,m2ver1106,202311061000-model-m2,TRUE,202311061200,estproduction,estpro1106,"202311061200-estproduction-gh1-1110,202311061200-estproduction-gh1-1111,202311061200-estproduction-gh1-1112",TRUE,202311061200
dep,fruit,fruit1106,"202311061200-fruit-gh1-c11-f111,202311061200-fruit-gh1-c11-f112,202311061200-fruit-gh1-c11-f113",TRUE,202311061200,estproduction,estpro1106,"202311061200-estproduction-gh1-1110,202311061200-estproduction-gh1-1111,202311061200-estproduction-gh1-1112",TRUE,202311061200
dep,precal,precal_m2_1106,202311061200-precal-gh1-m2,TRUE,202311061200,estproduction,estpro1106,"202311061200-estproduction-gh1-1110,202311061200-estproduction-gh1-1111,202311061200-estproduction-gh1-1112",TRUE,202311061200
indep,sensor,sensor1106,"202311061200-sensor-gh1-temp-sen11,202311061200-sensor-gh1-temp-sen12,202311061200-sensor-gh1-humid-sen13,202311061200-sensor-gh1-humid-sen14",TRUE,202311061200,precal,precal_m2_1106,202311061200-precal-gh1-m2,TRUE,202311061200
dep,sensor,sensor1106,"202311061200-sensor-gh1-temp-sen11,202311061200-sensor-gh1-temp-sen12,202311061200-sensor-gh1-humid-sen13,202311061200-sensor-gh1-humid-sen14",TRUE,202311061200,estproduction,estpro1106,"202311061200-estproduction-gh1-1110,202311061200-estproduction-gh1-1111,202311061200-estproduction-gh1-1112",TRUE,202311061200
indep,monitor,monitor1107,202311071200-monitor-gh1-photo01,TRUE,202311071200,precal,precal_m1_1107,202311071200-precal-gh1-m1,TRUE,202311071200
indep,precal,precal_m1_1107,202311071200-precal-gh1-m1,TRUE,202311071200,model,m1ver1106,202311061000-model-m1,TRUE,202311061200
dep,monitor,monitor1107,202311071200-monitor-gh1-photo01,TRUE,202311071200,fruit,fruit1107,"202311071200-fruit-gh1-c11-f111,202311071200-fruit-gh1-c11-f112,202311071200-fruit-gh1-c11-f113",TRUE,202311071200
dep,precal,precal_m1_1107,202311071200-precal-gh1-m1,TRUE,202311071200,fruit,fruit1107,"202311071200-fruit-gh1-c11-f111,202311071200-fruit-gh1-c11-f112,202311071200-fruit-gh1-c11-f113",TRUE,202311071200
dep,model,m1ver1106,202311061000-model-m1,TRUE,202311061200,fruit,fruit1107,"202311071200-fruit-gh1-c11-f111,202311071200-fruit-gh1-c11-f112,202311071200-fruit-gh1-c11-f113",TRUE,202311071200
indep,fruit,fruit1107,"202311071200-fruit-gh1-c11-f111,202311071200-fruit-gh1-c11-f112,202311071200-fruit-gh1-c11-f113",TRUE,202311071200,precal,precal_m2_1107,202311071200-precal-gh1-m2,TRUE,202311071200
indep,precal,precal_m2_1107,202311071200-precal-gh1-m2,TRUE,202311071200,model,m2ver1106,202311061000-model-m2,TRUE,202311061200
dep,model,m2ver1106,202311061000-model-m2,TRUE,202311061200,estproduction,estpro1107,"202311071200-estproduction-gh1-1110,202311071200-estproduction-gh1-1111,202311071200-estproduction-gh1-1112",TRUE,202311071200
dep,fruit,fruit1107,"202311071200-fruit-gh1-c11-f111,202311071200-fruit-gh1-c11-f112,202311071200-fruit-gh1-c11-f113",TRUE,202311071200,estproduction,estpro1107,"202311071200-estproduction-gh1-1110,202311071200-estproduction-gh1-1111,202311071200-estproduction-gh1-1112",TRUE,202311071200
dep,precal,precal_m2_1107,202311071200-precal-gh1-m2,TRUE,202311071200,estproduction,estpro1107,"202311071200-estproduction-gh1-1110,202311071200-estproduction-gh1-1111,202311071200-estproduction-gh1-1112",TRUE,202311071200
indep,sensor,sensor1107,"202311071200-sensor-gh1-temp-sen11,202311071200-sensor-gh1-temp-sen12,202311071200-sensor-gh1-humid-sen13,202311071200-sensor-gh1-humid-sen14",TRUE,202311071200,precal,precal_m2_1107,202311071200-precal-gh1-m2,TRUE,202311071200
dep,sensor,sensor1107,"202311071200-sensor-gh1-temp-sen11,202311071200-sensor-gh1-temp-sen12,202311071200-sensor-gh1-humid-sen13,202311071200-sensor-gh1-humid-sen14",TRUE,202311071200,estproduction,estpro1107,"202311071200-estproduction-gh1-1110,202311071200-estproduction-gh1-1111,202311071200-estproduction-gh1-1112",TRUE,202311071200
indep,monitor,monitor1108,202311081200-monitor-gh1-photo01,TRUE,202311081200,precal,precal_m1_1108,202311081200-precal-gh1-m1,TRUE,202311081200
indep,precal,precal_m1_1108,202311081200-precal-gh1-m1,TRUE,202311081200,model,m1ver1106,202311061000-model-m1,TRUE,202311061200
dep,monitor,monitor1108,202311081200-monitor-gh1-photo01,TRUE,202311081200,fruit,fruit1108,"202311081200-fruit-gh1-c11-f111,202311081200-fruit-gh1-c11-f112,202311081200-fruit-gh1-c11-f113",TRUE,202311081200
dep,precal,precal_m1_1108,202311081200-precal-gh1-m1,TRUE,202311081200,fruit,fruit1108,"202311081200-fruit-gh1-c11-f111,202311081200-fruit-gh1-c11-f112,202311081200-fruit-gh1-c11-f113",TRUE,202311081200
dep,model,m1ver1106,202311061000-model-m1,TRUE,202311061200,fruit,fruit1108,"202311081200-fruit-gh1-c11-f111,202311081200-fruit-gh1-c11-f112,202311081200-fruit-gh1-c11-f113",TRUE,202311081200
indep,fruit,fruit1108,"202311081200-fruit-gh1-c11-f111,202311081200-fruit-gh1-c11-f112,202311081200-fruit-gh1-c11-f113",TRUE,202311081200,precal,precal_m2_1108,202311081200-precal-gh1-m2,TRUE,202311081200
indep,precal,precal_m2_1108,202311081200-precal-gh1-m2,TRUE,202311081200,model,m2ver1108,202311081000-model-m2,TRUE,202311081200
dep,model,m2ver1108,202311081000-model-m2,TRUE,202311081200,estproduction,estpro1108,"202311081200-estproduction-gh1-1110,202311081200-estproduction-gh1-1111,202311081200-estproduction-gh1-1112",TRUE,202311081200
dep,fruit,fruit1108,"202311081200-fruit-gh1-c11-f111,202311081200-fruit-gh1-c11-f112,202311081200-fruit-gh1-c11-f113",TRUE,202311081200,estproduction,estpro1108,"202311081200-estproduction-gh1-1110,202311081200-estproduction-gh1-1111,202311081200-estproduction-gh1-1112",TRUE,202311081200
dep,precal,precal_m2_1108,202311081200-precal-gh1-m2,TRUE,202311081200,estproduction,estpro1108,"202311081200-estproduction-gh1-1110,202311081200-estproduction-gh1-1111,202311081200-estproduction-gh1-1112",TRUE,202311081200
indep,sensor,sensor1108,"202311081200-sensor-gh1-temp-sen11,202311081200-sensor-gh1-temp-sen12,202311081200-sensor-gh1-humid-sen13,202311081200-sensor-gh1-humid-sen14",TRUE,202311081200,precal,precal_m2_1108,202311081200-precal-gh1-m2,TRUE,202311081200
dep,sensor,sensor1108,"202311081200-sensor-gh1-temp-sen11,202311081200-sensor-gh1-temp-sen12,202311081200-sensor-gh1-humid-sen13,202311081200-sensor-gh1-humid-sen14",TRUE,202311081200,estproduction,estpro1108,"202311081200-estproduction-gh1-1110,202311081200-estproduction-gh1-1111,202311081200-estproduction-gh1-1112",TRUE,202311081200
dep,sensor,sensor1106,"202311061200-sensor-gh1-temp-sen11,202311061200-sensor-gh1-temp-sen12,202311061200-sensor-gh1-humid-sen13,202311061200-sensor-gh1-humid-sen14",TRUE,202311061200,model,m2ver1108,202311081000-model-m2,TRUE,202311081200
dep,sensor,sensor1107,"202311071200-sensor-gh1-temp-sen11,202311071200-sensor-gh1-temp-sen12,202311071200-sensor-gh1-humid-sen13,202311071200-sensor-gh1-humid-sen14",TRUE,202311071200,model,m2ver1108,202311081000-model-m2,TRUE,202311081200
